FLOPS,Type,Group,N,B,MFLOPS,Runtime_s
FLOPS,basic,FLOPS_DP,128,NA,1677.3110,0.0025
FLOPS,basic,FLOPS_DP,512,NA,288.9189,0.9291
FLOPS,basic,FLOPS_DP,2048,NA,120.7791,142.2421
FLOPS,cblas,FLOPS_DP,128,NA,998.7860,0.0042
FLOPS,cblas,FLOPS_DP,512,NA,46519.7359,0.0058
FLOPS,cblas,FLOPS_DP,2048,NA,52071.6343,0.3308
FLOPS,blocked,FLOPS_DP,128,4,2067.3286,0.0020
FLOPS,blocked,FLOPS_DP,128,16,4557.9832,0.0009
FLOPS,blocked,FLOPS_DP,512,4,1951.1301,0.1376
FLOPS,blocked,FLOPS_DP,512,16,4592.1444,0.0585
FLOPS,blocked,FLOPS_DP,2048,4,1906.7254,9.0101
FLOPS,blocked,FLOPS_DP,2048,16,4400.9151,3.9037
L2,Type,Group,N,B,L2_miss_ratio,Runtime_s
L2,basic,L2CACHE,128,NA,0.0018,0.0027
L2,basic,L2CACHE,512,NA,0.9520,0.9315
L2,basic,L2CACHE,2048,NA,0.6588,139.6489
L2,cblas,L2CACHE,512,NA,0.1498,0.0058
L2,cblas,L2CACHE,2048,NA,0.1909,0.3310
L2,blocked,L2CACHE,128,16,0.1031,0.0010
L2,blocked,L2CACHE,512,4,0.5590,0.1380
L2,blocked,L2CACHE,512,16,0.3633,0.0591
L2,blocked,L2CACHE,2048,4,0.3667,9.4583
L2,blocked,L2CACHE,2048,16,0.3962,3.9291
L3,Type,Group,N,B,L3_miss_ratio,Runtime_s
L3,basic,L3CACHE,128,NA,0.000000,0.0025
L3,basic,L3CACHE,512,NA,0.000000,0.9301
L3,basic,L3CACHE,2048,NA,0.000000,135.3793
L3,cblas,L3CACHE,128,NA,0.000000,0.0041
L3,cblas,L3CACHE,512,NA,0.000000,0.0058
L3,cblas,L3CACHE,2048,NA,0.000000,0.3309
L3,blocked,L3CACHE,128,4,0.000000,0.0021
L3,blocked,L3CACHE,128,16,0.000000,0.0011
L3,blocked,L3CACHE,512,4,0.000000,0.1286
L3,blocked,L3CACHE,512,16,0.000000,0.0605
L3,blocked,L3CACHE,2048,4,0.000000,9.3856
L3,blocked,L3CACHE,2048,16,0.000000,3.9624
